scenario,scale,architecture,regime,real_pct,synthetic_pct,eval_domain,eval_dataset,metric,class,mean,std,min,max,n
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_10,cyclist,0.2871200412158681,0.0006849105693739019,0.2865533230293663,0.2878811296894759,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_10,pedestrian,0.1122583497861138,8.109718621393898e-05,0.1122084772951628,0.1123519249753208,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_100,car,0.5157345187635687,0.0004660158242359552,0.515196939935904,0.5160239842861574,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_100,cyclist,0.3645309353191888,0.000638670639209524,0.3638049740059014,0.3650063228888576,3
ADD,large,YOLOv8m,hybrid_30_70,30,70,synthetic_internal,SYNTHIA,AR_100,pedestrian,0.3421520236920039,0.00043171192835406516,0.3416568978282329,0.342449716189536,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50,car,0.7378216527525462,0.0003291218127948975,0.7376242654237888,0.7382015933715608,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50,cyclist,0.37610895536370853,0.012555725579404669,0.3617702408871162,0.3851349749822956,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50,pedestrian,0.5734800695187442,0.005464961354566926,0.569929693923789,0.5797732134313218,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,car,0.44305949962052465,0.0006933747589095674,0.442441999345553,0.4438095983890272,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,cyclist,0.19215049228011927,0.0068423168327659155,0.1843899814934765,0.197314552131975,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_50_95,pedestrian,0.27979089824691256,0.0013878050678110003,0.2786095602967101,0.2813192950033024,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_75,car,0.43879788650568646,0.002590481473415216,0.435905250671013,0.4409038162104252,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_75,cyclist,0.17189057196945842,0.010439010518738665,0.1604525868355413,0.1809038493855997,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AP_75,pedestrian,0.23020210956594536,0.003041449622291628,0.2283535386629897,0.2337124160957397,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_1,car,0.07839386892870007,0.00026874155732366066,0.0781449579143877,0.0786788065371892,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_1,cyclist,0.1495358649789029,0.007162066630453593,0.1435443037974683,0.1574683544303797,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_1,pedestrian,0.112590272339685,0.000580360433155866,0.11224223440355,0.1132602453667449,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_10,car,0.41446303998951955,0.0006921025220906901,0.4136639046277798,0.4148691579602398,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_10,cyclist,0.2978059071729957,0.0071126776390566795,0.290379746835443,0.3045569620253164,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_10,pedestrian,0.32708605237970934,0.0008975482715046009,0.3260506395197076,0.3276429130775254,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_100,car,0.5091529383508554,0.00031722163995097515,0.5087904889791373,0.5093800150656668,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_100,cyclist,0.31594936708860755,0.008536564708905013,0.3086075949367088,0.3253164556962025,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,real_internal,BDD,AR_100,pedestrian,0.3983120160097451,0.00041299727786674824,0.3978595666927695,0.3986687548942835,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,car,0.6666726048024593,0.0005992719797740994,0.6660331702423651,0.6672213842755027,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,cyclist,0.5114183588866228,0.0024188659240720416,0.5095862730622728,0.5141601916300211,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50,pedestrian,0.5123450801530379,0.002566504030068579,0.509382644714121,0.5138964772073826,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,car,0.4671054072451765,0.0008012479301412819,0.4664574877320855,0.4680013359466592,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,cyclist,0.31929491397063864,0.00022086307133566152,0.319050828525023,0.3194809662060894,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_50_95,pedestrian,0.3010246723752579,0.00018095081351732586,0.3008399467095638,0.3012015959450813,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,car,0.4861047685259439,0.0011475845265092421,0.4851438672777539,0.4873754418015136,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,cyclist,0.32631182039596024,0.0017128612817891803,0.3243509711502381,0.3275162906555018,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AP_75,pedestrian,0.2931444094947235,0.00032100058184155556,0.2929112563169301,0.2935105278041926,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_1,car,0.07837279024087661,0.00012703613902038973,0.0782797477514731,0.0785175230021709,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_1,cyclist,0.0492014425553838,0.00010237222141536777,0.0490937192637347,0.0492974567935928,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_1,pedestrian,0.0129030931227377,6.233730078229743e-06,0.0128964091806515,0.0129087487660414,3
ADD,large,YOLOv8m,hybrid_50_50,50,50,synthetic_internal,SYNTHIA,AR_10,car,0.40166098073675865,0.00034849109535400066,0.4012715806885144,0.4019435542230952,3
